ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality
148,South Korea,Goyang,1,Positive only,54,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
150,USA,Washington,1,Positive only,35,1.00,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,,1.00,1.00,,0.00,,1.00,1.00,1.00,1.00,1.00,1.00,,,,0.00,0.00
151,China,Wuhan,287,Positive only,21,0.56,0.00,0.00,1.00,0.00,0.00,,0.30,0.16,0.12,0.06,0.03,0.04,0.08,0.02,,0.78,0.07,0.73,0.48,,,0.48,0.48,,,,,,,0.48,,0.00,0.07
151,China,Wuhan,55,Positive only,22,0.69,0.00,0.00,1.00,0.00,0.00,,0.42,0.22,0.18,0.11,0.05,0.02,0.16,0.05,,0.73,0.18,0.75,0.53,,,0.45,0.45,,,,,,,0.44,,0.00,0.03
151,China,Wuhan,232,Positive only,20,0.53,0.00,0.00,1.00,0.00,0.00,,0.28,0.14,0.10,0.04,0.02,0.04,0.08,0.01,,0.79,0.05,0.72,0.47,,,0.48,0.48,,,,,,,0.49,,0.00,0.22
152,USA,New York City,1999,Positive only,62,0.62,0.46,0.15,0.06,,0.33,0.26,0.37,0.25,0.16,0.10,0.07,,,0.10,0.26,,,,,,,,,,,,,,,,,0.00,0.15
154,China,Wuhan,274,Positive only,60,0.55,0.00,0.00,1.00,0.00,0.00,,,0.15,0.11,0.06,0.03,0.04,0.08,0.02,,0.78,,0.73,0.47,,,0.50,,,,,,,,,,0.00,0.08
154,China,Wuhan,75,Positive only,67,0.55,0.00,0.00,1.00,0.00,0.00,,,0.31,0.21,0.09,0.03,0.04,0.15,0.05,,0.76,,0.71,0.47,,,0.52,,,,,,,,,,0.00,0.09
154,China,Wuhan,199,Positive only,58,0.55,0.00,0.00,1.00,0.00,0.00,,,0.10,0.08,0.04,0.03,0.04,0.06,0.01,,0.78,,0.73,0.47,,,0.48,,,,,,,,,,0.00,0.07
156,Europe/North America,Various,53,Positive only,54,0.75,,,,,,,0.25,0.17,0.11,0.11,,,,,,,,,,,,,,,0.09,,,,,,,,0.13
156,Europe/North America,Various,34,Positive only,61,0.79,,,,,,,0.26,0.24,0.18,0.15,,,,,,,,,,,,,,,0.03,,,,,,,,0.18
156,Europe/North America,Various,19,Positive only,65,0.68,,,,,,,0.21,0.05,0.00,0.05,,,,,,,,,,,,,,,0.21,,,,,,,,0.05
157,China,Wuhan ,245,Positive only,53,0.47,0.00,0.00,1.00,0.00,0.00,0.04,0.21,0.09,0.07,0.03,0.04,0.03,,,,0.81,,0.57,0.18,0.05,0.27,0.31,0.48,,0.07,0.04,0.23,0.07,,,,,0.13
157,China,Wuhan ,82,Positive only,45,0.29,0.00,0.00,1.00,0.00,0.00,0.01,0.13,0.06,0.06,0.02,0.02,0.00,,,,0.74,,0.48,0.10,0.06,0.18,0.29,0.44,,0.07,0.04,0.17,0.11,,,,,0.02
157,China,Wuhan ,81,Positive only,53,0.49,0.00,0.00,1.00,0.00,0.00,0.05,0.17,0.07,0.04,0.05,0.01,0.04,,,,0.77,,0.60,0.12,0.06,0.30,0.33,0.44,,0.10,0.02,0.19,0.09,,,,,0.06
157,China,Wuhan ,82,Positive only,61,0.61,0.00,0.00,1.00,0.00,0.00,0.06,0.33,0.15,0.12,0.02,0.07,0.05,,,,0.91,,0.63,0.33,0.02,0.34,0.29,0.55,,0.05,0.06,0.33,0.01,,,,,0.32
159,China,Xiangyang,119,Positive only,49,0.47,0.00,0.00,1.00,0.00,0.00,,0.19,0.10,0.06,,,0.02,,0.02,,0.86,,0.63,,0.14,0.18,,0.75,,0.12,0.03,,,,,,0.00,0.03
159,China,Xiangyang,99,Positive only,45,0.44,0.00,0.00,1.00,0.00,0.00,,0.10,0.07,0.03,,,0.02,,0.01,,0.86,,0.53,,0.15,0.16,,0.75,,0.11,0.03,,,,,,0.00,0.00
159,China,Xiangyang,20,Positive only,68,0.60,0.00,0.00,1.00,0.00,0.00,,0.65,0.25,0.20,,,0.00,,0.05,,0.80,,0.65,,0.10,0.30,,0.70,,0.15,0.05,,,,,,0.00,0.03
160,China,Anhui,125,Positive only,39,0.57,0.00,0.00,1.00,0.00,0.00,0.13,,,0.14,0.02,0.01,0.06,,,,0.93,,0.82,0.46,0.09,0.42,0.03,0.34,,0.40,0.19,,0.14,,0.02,,0.00,0.00
160,China,Anhui,1,Positive only,69,1.00,0.00,0.00,1.00,0.00,0.00,,,,1.00,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,0.00
160,China,Anhui,1,Positive only,40,1.00,0.00,0.00,1.00,0.00,0.00,,,,0.00,,,,,,,1.00,0.00,,,,,,,,,,,,,,,,0.00
160,China,Anhui,1,Positive only,21,0.00,0.00,0.00,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,0.00
160,China,Anhui,1,Positive only,67,1.00,0.00,0.00,1.00,0.00,0.00,,,,1.00,,,,,,,1.00,0.00,,,,,,,,,,,,,,,,0.00
161,China,Shanghai,274,Positive only,44,0.62,0.00,0.00,1.00,0.00,0.00,0.07,0.34,0.17,0.08,0.07,0.03,0.04,,0.01,,0.91,0.32,0.68,0.44,0.11,0.30,0.22,0.50,,0.28,0.09,0.24,0.04,,0.38,,,0.41
161,China,Shanghai,113,Positive only,62,0.73,0.00,0.00,1.00,0.00,0.00,0.08,0.48,0.21,0.14,0.10,0.04,0.04,,0.04,,0.92,0.59,0.70,0.62,0.10,0.31,0.19,0.57,,0.24,0.07,0.27,0.04,,0.49,,,1.00
161,China,Shanghai,161,Positive only,37,0.55,0.00,0.00,1.00,0.00,0.00,0.06,0.24,0.14,0.04,0.04,0.01,0.04,,0.01,,0.90,0.14,0.66,0.31,0.12,0.30,0.24,0.45,,0.31,0.10,0.22,0.05,,0.30,,,0.00
162,China,Zhuhai,95,Positive only,45,0.47,0.00,0.00,1.00,0.00,0.00,0.06,0.17,0.06,0.04,0.05,0.05,,0.04,0.01,,,,,,,,,,,0.20,0.15,0.13,,,,,0.00,0.00
162,China,Zhuhai,58,Positive only,48,0.47,0.00,0.00,1.00,0.00,0.00,0.09,0.17,0.05,0.05,0.02,0.07,,0.05,0.02,,,,,,,,,,,0.24,0.18,0.18,,,,,0.00,0.00
169,China,Jiangsu,55,Positive only,45,0.49,0.00,0.00,1.00,0.00,0.00,,0.31,0.16,0.04,,0.04,,0.02,0.02,,0.86,,0.62,0.20,0.18,0.49,,0.40,,0.33,0.07,0.06,,,,,,0.00
169,China,Jiangsu,47,Positive only,40,0.47,0.00,0.00,1.00,0.00,0.00,,0.30,0.11,0.02,,0.04,,0.00,0.00,,0.83,,0.55,0.06,0.17,0.43,,0.36,,0.30,0.09,0.04,,,,,,0.00
169,China,Jiangsu,8,Positive only,59,0.63,0.00,0.00,1.00,0.00,0.00,,0.38,0.50,0.13,,0.00,,0.13,0.13,,1.00,,1.00,1.00,0.25,0.88,,0.63,,0.50,0.00,0.13,,,,,,0.00
170,Iceland,Nationwide,13,Positive only,51,0.69,1.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,,0.23,,0.15,,0.08,,,,,,0.00,,,0.08,0.54,0.00
172,China,Changsha,159,Positive only,72,0.62,0.00,0.00,0.00,0.00,0.00,,0.57,0.33,0.57,,0.05,0.09,0.15,,,0.71,,0.55,0.08,0.03,,0.03,0.14,,0.06,0.02,,,0.03,0.10,,,1.00
176,USA,New York City,393,Positive only,62,0.61,0.37,0.13,0.17,,0.46,0.05,0.50,0.25,0.14,0.05,0.06,,,,,0.26,0.10,0.79,0.57,,,0.27,,,0.24,,,,,,,0.00,0.10
176,USA,New York City,130,Positive only,63,0.71,0.35,0.12,0.19,,0.34,0.05,0.54,0.28,0.19,0.05,0.08,,,,,0.35,0.22,0.83,0.66,,,0.24,,,0.21,,,,,,,0.00,0.15
176,USA,New York City,263,Positive only,61,0.56,0.38,0.13,0.16,,0.33,0.05,0.48,0.24,0.11,0.05,0.05,,,,,0.21,0.04,0.78,0.52,,,0.29,,,0.25,,,,,,,0.00,0.08
181,USA,South Carolina,368,Positive only,48,,0.29,0.64,,,0.07,0.14,,0.68,0.18,0.20,0.16,0.09,0.13,,,0.42,,,,,,,,,,,,,,,,,0.19
181,USA,South Carolina,97,Positive only,48,,0.24,0.68,,,0.08,0.19,,0.79,0.26,0.23,0.18,0.08,0.21,,,0.43,,,,,,,,,,,,,,,,,0.28
181,USA,South Carolina,113,Positive only,47,,0.35,0.59,,,0.06,0.12,,0.55,0.13,0.18,0.13,0.11,0.07,,,0.47,,,,,,,,,,,,,,,,,0.22
181,USA,South Carolina,158,Positive only,48,,0.27,0.65,,,0.08,0.13,,0.70,0.17,0.19,0.17,0.09,0.12,,,0.39,,,,,,,,,,,,,,,,,0.11
182,USA,New York,5700,Positive only,63,0.60,0.40,0.23,0.09,0.23,0.06,0.16,0.57,0.34,0.18,0.05,0.06,0.01,,0.05,,,0.17,,,,,,,,,,,,,,,,0.10
183,UK,Nationwide,202,Positive only,56,0.48,,,,,,0.31,,,,,,,,,,0.56,,0.60,0.41,0.43,,0.45,0.68,,0.44,0.26,0.55,0.36,,,0.64,0.00,0.00
184,USA,Washington,48,Positive only,14,0.77,,,,,,,,,,,,,,,,0.42,,0.50,0.10,0.17,,0.35,,,0.06,0.02,0.02,0.15,0.15,,,0.00,0.00
185,China,Wuhan,171,Positive only,6,0.61,0.00,0.00,1.00,0.00,0.00,,,,,,,,,,,0.42,,0.49,,,,,0.09,,0.09,0.06,,0.08,,,,0.16,0.01
186,China,Guangzhou,13,Positive only,60,0.62,,,1.00,,,,0.39,0.15,,,,0.08,,,,1.00,,0.69,0.00,0.00,,,,,,,,,,,,,0.00
188,USA,Washington,57,Positive only,79,,,,,,,,,0.38,0.81,0.38,,,0.40,0.38,,0.10,,0.58,0.10,0.04,,0.02,,,0.04,0.10,,0.15,0.00,,,,0.26
188,USA,Washington,28,Negative only,74,,,,,,,,,0.39,0.61,0.29,,,0.29,0.32,,0.50,,0.36,0.11,0.07,,0.04,,,0.07,0.07,,0.18,0.00,,,,0.00
191,China,Nationwide,21,Positive only,68,0.52,0.00,0.00,1.00,0.00,0.00,,0.33,0.19,0.19,,0.14,0.10,,0.10,,0.76,,0.71,0.57,,0.33,,,,0.10,,,0.14,,,,0.00,0.24
191,China,Nationwide,5,Positive only,68,0.80,0.00,0.00,1.00,0.00,0.00,,0.40,0.49,0.40,,0.20,0.20,,0.00,,1.00,,0.80,0.60,,0.40,,,,0.20,,,0.00,,,,0.00,1.00
191,China,Nationwide,16,Positive only,69,0.44,0.00,0.00,1.00,0.00,0.00,,0.31,0.13,0.13,,0.13,0.06,,0.13,,0.69,,0.69,0.56,,0.31,,,,0.06,,,0.19,,,,0.00,0.00
193,China,Shenzhen,420,Positive only,46,0.48,0.00,0.00,1.00,0.00,0.00,,0.12,0.06,0.03,0.03,,0.03,0.01,0.00,0.03,0.75,,0.73,0.16,0.11,0.47,0.13,0.29,,0.18,0.11,,0.14,0.03,0.16,,0.00,0.01
193,China,Shenzhen,23,Positive only,25,0.30,0.00,0.00,1.00,0.00,0.00,,0.04,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.48,,0.57,0.00,0.04,0.13,0.09,0.09,,0.09,0.04,,0.13,0.00,0.04,,0.00,0.00
193,China,Shenzhen,304,Positive only,43,0.44,0.00,0.00,1.00,0.00,0.00,,0.08,0.04,0.01,0.03,,0.03,0.00,0.01,0.04,0.71,,0.70,0.06,0.11,0.44,0.09,0.23,,0.17,0.11,,0.13,0.03,0.12,,0.00,0.00
193,China,Shenzhen,74,Positive only,58,0.61,0.00,0.00,1.00,0.00,0.00,,0.24,0.12,0.10,0.03,,0.04,0.01,0.00,0.04,0.95,,0.88,0.41,0.15,0.69,0.28,0.49,,0.23,0.14,,0.18,0.05,0.35,,0.00,0.00
193,China,Shenzhen,19,Positive only,62,0.74,0.00,0.00,1.00,0.00,0.00,,0.37,0.21,0.00,0.16,,0.00,0.05,0.00,0.05,0.90,,0.79,0.90,0.05,0.47,0.26,0.58,,0.11,0.11,,0.21,0.05,0.26,,0.00,0.21
197,China,Wuhan,223,Positive only,60,0.57,0.00,0.00,1.00,0.00,0.00,,0.18,0.09,0.06,,0.02,,,,,0.79,,0.69,,,,,0.57,,0.07,,,,,,,,0.30
197,China,Wuhan,125,Positive only,48,0.49,0.00,0.00,1.00,0.00,0.00,,0.10,0.06,0.03,,0.01,,,,,0.74,,0.68,,,,,0.58,,0.08,,,,,,,,0.00
197,China,Wuhan,98,Positive only,64,0.66,0.00,0.00,1.00,0.00,0.00,,0.39,0.12,0.09,,0.04,,,,,0.86,,0.70,,,,,0.54,,0.05,,,,,,,,0.68
198,USA,New York,257,Positive,21,0.66,0.12,0.19,0.04,0.62,0.03,0.13,0.63,0.36,0.19,0.09,0.07,0.02,0.09,0.14,,0.71,,0.66,0.74,0.04,,0.26,,0.07,0.12,,,0.06,,,,0.00,0.33
199,China,Hubei,237,Positive only,65,0.59,,,,,,,0.43,0.24,0.07,,,,,0.00,,0.37,0.20,,,,,,,,0.03,0.04,0.01,,,,,0.00,0.14
199,China,Hubei,158,Positive only,66,0.56,,,,,,,0.46,0.25,0.09,,,,,0.00,,0.35,0.23,,,,,,,,0.03,0.05,0.01,,,,,0.00,0.15
199,China,Hubei,78,Positive only,64,0.65,,,,,,,0.38,0.21,0.03,,,,,0.00,,0.40,0.14,,,,,,,,0.03,0.03,0.00,,,,,0.00,0.13
200,USA,New York,151,Positive only,56,0.57,,,,,,0.21,0.50,0.26,0.11,0.07,0.03,0.01,,0.08,0.17,0.74,,0.77,0.54,0.14,0.06,,,,0.20,0.09,,0.11,0.15,,,,0.15
200,USA,New York,618,Positive only,63,0.57,,,,,,0.23,0.59,0.38,0.14,0.07,0.08,0.02,,0.16,0.10,0.73,,0.73,0.61,0.10,0.09,,,,0.25,0.22,,0.08,0.19,,,,0.13
200,USA,New York,231,Positive only,62,0.68,,,,,,0.24,0.68,0.43,0.13,0.06,0.06,0.02,,0.12,0.13,0.73,,0.72,0.74,0.07,0.07,,,,0.21,0.10,,0.08,0.17,,,,0.31
200,USA,New York,1000,Positive only,62,0.60,,,,,,0.23,0.60,0.37,0.13,0.07,0.07,0.02,,0.14,0.11,0.73,,0.73,0.63,0.10,0.08,,,,0.23,0.18,,0.08,0.18,,,,0.17
1,China,Wuhan,191,Positive only,56,0.62,0.00,0.00,1.00,0.00,0.00,0.06,0.30,0.19,0.08,0.03,0.02,,,0.02,0.12,0.94,0.29,0.79,,,0.23,0.15,0.23,,0.05,0.04,,,,,,,0.28
1,China,Wuhan,54,Positive only,69,0.70,0.00,0.00,1.00,0.00,0.00,0.09,0.48,0.31,0.24,0.07,0.00,,,0.04,0.20,0.94,0.63,0.72,,,0.26,0.15,0.28,,0.04,0.06,,,,,,,1.00
1,China,Wuhan,137,Positive only,52,0.59,0.00,0.00,1.00,0.00,0.00,0.04,0.23,0.14,0.01,0.01,0.07,,,0.00,0.08,0.94,0.16,0.82,,,0.22,0.15,0.21,,0.05,0.03,,,,,,,0.00
2,China,Wuhan,199,Positive only,58,0.60,0.00,0.00,1.00,0.00,0.00,,,0.12,,,0.03,,0.07,,,0.92,0.19,,,,,,,,0.02,0.04,0.01,,,,,,0.16
2,China,Wuhan,99,Positive only,59,0.62,0.00,0.00,1.00,0.00,0.00,,,0.10,,,0.05,,0.05,,,0.90,0.22,,,,,,,,0.04,0.10,0.02,,,,,,0.15
2,China,Wuhan,100,Positive only,58,0.59,0.00,0.00,1.00,0.00,0.00,,,0.13,,,0.01,,0.08,,,0.93,0.16,,,,,,,,0.00,0.00,0.00,,,,,,0.17
3,China,Wuhan,81,Positive only,50,0.52,0.00,0.00,1.00,0.00,0.00,,0.15,0.12,0.10,0.11,0.05,0.09,0.07,0.04,0.16,0.73,,0.59,0.42,0.06,0.19,0.09,0.09,,0.04,0.05,0.01,,,,,0.19,0.04
3,China,Wuhan,15,Positive only,45,0.27,0.00,0.00,1.00,0.00,0.00,,0.13,0.20,0.20,0.07,0.07,0.00,0.07,0.00,0.07,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,1.00,0.00
3,China,Wuhan,21,Positive only,49,0.52,0.00,0.00,1.00,0.00,0.00,,0.05,0.10,0.05,0.14,0.05,0.10,0.05,0.00,0.15,0.86,,0.71,0.43,0.10,0.14,0.05,0.09,,0.05,0.10,0.05,,,,,0.00,0.00
3,China,Wuhan,30,Positive only,52,0.67,0.00,0.00,1.00,0.00,0.00,,0.23,0.10,0.10,0.10,0.07,0.10,0.10,0.10,0.20,0.90,,0.70,0.43,0.07,0.20,0.13,0.05,,0.03,0.07,0.00,,,,,0.00,0.07
3,China,Wuhan,15,Positive only,50,0.47,0.00,0.00,1.00,0.00,0.00,,0.13,0.13,0.07,0.13,0.00,0.13,0.07,0.00,0.20,0.93,,0.80,0.80,0.07,0.40,0.13,0.13,,0.07,0.00,0.00,,,,,0.00,0.07
4,China,Zhejiang,149,Positive only,45,0.54,0.00,0.00,1.00,0.00,0.00,,,,,,0.01,,0.19,,,0.77,,0.58,0.01,0.09,0.32,0.03,,,0.07,0.01,,0.14,0.14,,,,0.00
6,China,Beijing,77,Positive only,52,0.44,0.00,0.00,1.00,0.00,0.00,,0.21,0.08,0.12,0.08,0.05,,0.03,0.07,,0.86,,0.64,0.21,0.13,,0.27,0.27,,0.01,0.08,0.09,0.07,,,,0.00,0.06
6,China,Beijing,57,Positive only,45,0.40,0.00,0.00,1.00,0.00,0.00,,0.14,0.07,0.05,0.05,0.05,,0.02,0.04,,0.83,,0.58,0.14,0.18,,0.33,0.33,,0.02,0.05,0.07,0.09,,,,0.00,0.00
6,China,Beijing,20,Positive only,69,0.55,0.00,0.00,1.00,0.00,0.00,,0.40,0.10,0.30,0.15,0.05,,0.05,0.15,,0.95,,0.80,0.40,0.00,,0.10,0.10,,0.00,0.15,0.15,0.00,,,,0.00,0.25
7,China,Wuhan,36,Positive only,68,0.83,0.00,0.00,1.00,0.00,0.00,,0.39,0.28,0.33,0.19,0.06,,5.60,,0.08,,,,1.00,,,,,,,,,,,,,,0.64
7,China,Wuhan,22,Positive only,69,0.86,0.00,0.00,1.00,0.00,0.00,,0.36,0.27,0.27,0.18,0.09,,0.00,,0.14,,,,1.00,,,,,,,,,,,,,,0.55
7,China,Wuhan,14,Positive only,73,0.79,0.00,0.00,1.00,0.00,0.00,,0.43,0.29,0.43,0.21,0.00,,0.14,,,,,,1.00,,,,,,,,,,,,,,0.79
8,Italy,Nationwide,3200,Positive only,80,0.71,1.00,0.00,0.00,0.00,0.00,,0.74,0.34,0.30,0.14,0.20,0.04,,0.20,0.04,0.76,,0.40,0.73,,,,,,0.08,,,,,,,0.00,1.00
9,China,Zhejiang,91,Positive only,48,0.41,0.00,0.00,1.00,0.00,0.00,,0.16,0.09,,,,,,,,0.71,,0.60,0.03,0.08,0.33,0.05,0.44,,0.23,0.07,0.25,,,,,,0.00
10,China,Seven hospitals,62,Positive only,41,0.57,0.00,0.00,1.00,0.00,0.00,,0.08,0.02,,0.02,,0.11,0.02,0.02,,0.77,0.03,0.81,0.03,0.34,0.57,0.52,0.52,,0.08,,,,,,,,0.00
10,China,Seven hospitals,33,Positive only,45,0.58,0.00,0.00,1.00,0.00,0.00,,0.12,0.03,,0.03,,0.12,0.03,0.00,,0.73,0.03,0.82,0.06,0.45,0.58,0.58,0.58,,0.09,,,,,,,,0.00
10,China,Seven hospitals,29,Positive only,39,0.55,0.00,0.00,1.00,0.00,0.00,,0.03,0.00,,0.00,,0.10,0.00,0.03,,0.83,0.03,0.79,0.00,0.21,0.55,0.45,0.45,,0.00,,,,,,,,0.00
12,China,Jiangsu,620,Positive only,44,0.53,0.00,0.00,1.00,0.00,0.00,0.04,0.15,0.06,0.02,,0.01,0.01,,0.01,0.01,0.66,,0.55,0.03,,0.27,,,,0.09,,0.02,,,,,0.16,0.00
12,China,Jiangsu,97,Positive only,36,0.45,0.00,0.00,1.00,0.00,0.00,0.06,0.11,0.09,0.03,,0.00,0.00,,0.00,0.03,0.24,,0.30,0.01,,0.12,,,,0.04,,0.01,,,,,1.00,0.00
12,China,Jiangsu,470,Positive only,44,0.53,0.00,0.00,1.00,0.00,0.00,0.04,0.14,0.05,0.01,,0.01,0.00,,0.01,0.06,0.73,,0.59,0.03,,0.25,,,,0.09,,0.02,,,,,0.00,0.00
12,China,Jiangsu,53,Positive only,60,0.66,0.00,0.00,1.00,0.00,0.00,0.00,0.34,0.15,0.08,,0.02,0.02,,0.02,0.05,0.85,,0.70,0.11,,0.42,,,,0.11,,0.00,,,,,0.00,0.00
13,China,Nationwide,1099,Positive only,47,0.58,0.00,0.00,1.00,0.00,0.00,0.13,0.15,0.07,0.03,0.01,0.01,,0.01,0.01,,0.89,,0.68,0.19,0.14,0.34,0.15,0.38,0.05,0.04,0.05,,0.14,0.12,,,,0.01
13,China,Nationwide,926,Positive only,45,0.58,0.00,0.00,1.00,0.00,0.00,0.12,0.13,0.06,0.02,0.01,0.01,,0.01,0.01,,0.88,,0.67,0.15,0.13,0.33,0.15,0.38,0.05,0.04,0.05,,0.14,0.11,,,,0.00
13,China,Nationwide,173,Positive only,51,0.58,0.00,0.00,1.00,0.00,0.00,0.17,0.24,0.16,0.06,0.04,0.02,,0.02,0.02,,0.92,,0.71,0.38,0.15,0.35,0.17,0.40,0.04,0.06,0.07,,0.13,0.15,,,,0.08
13,China,Nationwide,67,Positive and Negative/Unconfirmed,62,0.67,0.00,0.00,1.00,0.00,0.00,0.26,0.36,0.27,0.09,0.10,0.02,,0.06,0.03,,0.88,,0.69,0.54,0.12,0.30,0.09,0.33,0.03,0.06,0.05,,0.09,0.12,,,,0.22
13,China,Nationwide,1032,Positive and Negative/Unconfirmed,46,0.58,0.00,0.00,1.00,0.00,0.00,0.12,0.14,0.06,0.02,0.01,0.01,,0.01,0.01,,0.89,,0.68,0.16,0.14,0.34,0.15,0.39,0.05,0.04,0.05,,0.14,0.11,,,,0.00
16,China,Wuhan,41,Positive only,49,0.73,0.00,0.00,1.00,0.00,0.00,0.07,0.15,0.20,0.15,0.02,0.02,0.02,,,0.02,0.98,0.29,0.76,0.55,,0.28,0.44,0.44,,0.03,,,,,,,,0.15
16,China,Wuhan,13,Positive only,50,0.85,0.00,0.00,1.00,0.00,0.00,0.00,0.15,0.08,0.23,0.08,0.00,0.00,,,0.00,1.00,0.62,0.85,0.92,,0.38,0.54,0.54,,0.00,,,,,,,,0.38
16,China,Wuhan,28,Positive only,49,0.68,0.00,0.00,1.00,0.00,0.00,0.11,0.14,0.25,0.11,0.00,0.04,0.04,,,0.04,0.96,0.14,0.71,0.37,,0.23,0.39,0.39,,0.04,,,,,,,,0.04
17,China,Wuhan,99,Positive only,56,0.68,0.00,0.00,1.00,0.00,0.00,,,0.12,,0.01,0.01,,,,0.17,0.83,,0.82,0.31,0.08,,0.11,,,0.02,0.01,,0.05,,,,,0.11
19,China,Wuhan,138,Positive only,56,0.54,0.00,0.00,1.00,0.00,0.00,,0.31,0.10,0.15,0.03,0.07,0.03,0.05,0.03,0.01,0.99,,0.59,0.31,0.07,0.27,0.35,0.70,,0.10,0.10,0.40,,,,,0.00,0.04
19,China,Wuhan,36,Positive only,66,0.61,0.00,0.00,1.00,0.00,0.00,,0.58,0.22,0.25,0.08,0.11,0.00,0.17,0.06,0.00,1.00,,0.58,0.64,0.08,0.22,0.33,0.81,,0.17,0.11,0.67,,,,,0.00,0.17
19,China,Wuhan,102,Positive only,51,0.52,0.00,0.00,1.00,0.00,0.00,,0.22,0.06,0.11,0.01,0.06,0.04,0.01,0.02,0.02,0.98,,0.60,0.20,0.06,0.28,0.35,0.66,,0.08,0.10,0.30,,,,,0.00,0.00
22,China,Northeast Chongqing,135,Positive only,46,0.53,0.00,0.00,1.00,0.00,0.00,0.07,0.10,0.09,0.05,0.00,0.03,0.02,,,,0.89,,0.77,0.13,0.33,0.09,0.33,0.33,,0.13,0.03,,,,,,,0.01
22,China,Northeast Chongqing,95,Positive only,42,0.55,0.00,0.00,1.00,0.00,0.00,0.08,0.09,0.03,0.01,0.00,0.01,0.01,,,,0.90,,0.71,0.10,0.24,0.05,0.26,0.26,,0.05,0.04,,,,,,,0.00
22,China,Northeast Chongqing,40,Positive only,60,0.53,0.00,0.00,1.00,0.00,0.00,0.03,0.10,0.23,0.15,0.10,0.08,0.03,,,,0.85,,0.88,0.19,0.28,0.18,0.48,0.48,,0.33,0.00,,,,,,,0.03
23,China,Wuhan,17,Positive only,45,0.53,0.00,0.00,1.00,0.00,0.00,0.18,0.06,0.00,0.00,0.00,0.00,,,0.00,0.18,0.71,,0.77,,,0.18,0.24,0.47,,0.12,,,,,,,,0.00
23,China,Wuhan,5,Positive only,35,0.80,0.00,0.00,1.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,,,0.00,0.40,0.80,,0.60,,,0.00,0.60,0.60,,0.00,,,,,,,,0.00
23,China,Wuhan,12,Positive only,49,0.42,0.00,0.00,1.00,0.00,0.00,0.08,0.08,0.00,0.00,0.00,0.00,,,0.00,0.08,0.67,,0.83,,,0.25,0.17,0.42,,0.17,,,,,,,,0.00
24,China,Wuhan,48,Positive and Negative/Unconfirmed,71,0.69,0.00,0.00,1.00,0.00,0.00,,0.67,0.21,0.27,,,,,0.10,0.15,0.71,,,,,,,,,,,,,,,,,0.35
24,China,Wuhan,17,Positive only,79,0.71,0.00,0.00,1.00,0.00,0.00,,0.71,0.29,0.24,,,,,0.29,0.18,0.71,,,,,,,,,,,,,,,,,1.00
24,China,Wuhan,31,Positive and Negative/Unconfirmed,66,0.68,0.00,0.00,1.00,0.00,0.00,,0.65,0.16,0.29,,,,,0.00,0.13,0.71,,,,,,,,,,,,,,,,,0.00
25,USA,Washington,21,Positive only,70,0.52,,,,,,,,0.33,,0.33,,,,0.48,0.43,0.52,,0.48,0.76,,,,,,,,,,,,,,0.67
26,Singapore,Singapore,18,Positive only,50,0.50,0.00,0.00,1.00,0.00,0.00,,0.28,0.11,,,,,,,,0.72,,0.83,0.11,,,,,,0.17,0.22,,0.61,,,,,0.00
26,Singapore,Singapore,12,Positive only,41,0.58,0.00,0.00,1.00,0.00,0.00,,0.08,0.08,,,,,,,,0.58,,0.83,0.08,,,,,,0.25,,,0.67,,,,,0.00
26,Singapore,Singapore,6,Positive only,59,0.33,0.00,0.00,1.00,0.00,0.00,,0.67,0.17,,,,,,,,1.00,,0.83,0.17,,,,,,0.00,,,0.50,,,,,0.00
28,China,Wuhan,201,Positive only,51,0.64,0.00,0.00,1.00,0.00,0.00,,0.19,0.11,0.04,0.03,0.01,0.04,,0.01,0.07,0.94,,0.81,,,,0.32,0.32,,,,,,,,,,0.22
